l,l1,l2,n1,n2,p,p1,p2,mirror1,mirror2,ReRatioNL,ImRatioNL
7,4,4,1,0,0,0,1,1,0,0.0407,0.0136
7,4,4,0,1,0,0,1,0,0,-0.115,0.00625
7,4,4,0,1,0,0,1,0,1,0.0408,0.0152
2,4,5,0,0,0,0,1,0,0,-0.00969,-0.0935
2,4,5,0,0,0,0,1,1,0,-1.64,0.859
2,4,5,1,0,0,0,1,0,0,-0.00989,-0.093
2,4,5,1,0,0,0,1,1,0,-2.7,-0.654
2,4,5,0,1,0,0,1,0,0,-0.0272,-0.0919
4,4,5,0,0,0,0,1,0,0,0.00673,0.0608
4,4,5,0,0,0,0,1,1,0,0.308,-0.241
4,4,5,1,0,0,0,1,0,0,-0.00152,0.06
4,4,5,0,1,0,0,1,0,0,0.0249,0.0588
4,4,5,0,1,0,0,1,1,0,0.341,-0.135
6,4,5,0,0,0,0,1,0,0,-0.0074,-0.0519
6,4,5,0,0,0,0,1,1,0,-0.0563,0.0119
6,4,5,1,0,0,0,1,0,0,0.0186,-0.0501
6,4,5,1,0,0,0,1,1,0,-0.0813,-0.0105
6,4,5,0,1,0,0,1,0,0,-0.0381,-0.0489
6,4,5,0,1,0,0,1,1,0,-0.0755,0.000963
3,4,6,0,0,0,0,1,0,0,0.00979,0.113
3,4,6,0,0,0,0,1,1,0,0.564,-0.441
3,4,6,1,0,0,0,1,0,0,0.00856,0.112
3,4,6,1,0,0,0,1,1,0,1.33,-0.0671
3,4,6,0,1,0,0,1,0,0,0.0286,0.112
3,4,6,0,1,0,0,1,1,0,0.946,-0.257
5,4,6,0,0,0,0,1,0,0,-0.00747,-0.0879
5,4,6,0,0,0,0,1,1,0,-0.137,0.127
5,4,6,1,0,0,0,1,0,0,0.00216,-0.087
5,4,6,1,0,0,0,1,1,0,-0.27,0.0638
5,4,6,0,1,0,0,1,0,0,-0.0279,-0.0862
5,4,6,0,1,0,0,1,1,0,-0.207,0.0963
7,4,6,0,0,0,0,1,1,0,0.0303,0.0249
7,4,6,1,0,0,0,1,0,0,-0.0214,0.0761
7,4,6,1,0,0,0,1,1,0,0.0599,0.0281
7,4,6,0,1,0,0,1,0,0,0.0386,0.0756
7,4,6,0,1,0,0,1,1,0,0.0548,0.0247
4,4,7,0,0,0,0,1,0,0,-0.00904,-0.124
4,4,7,0,0,0,0,1,1,0,-0.323,0.218
4,4,7,1,0,0,0,1,0,0,-0.00646,-0.123
4,4,7,1,0,0,0,1,1,0,-0.893,0.0868
4,4,7,0,1,0,0,1,0,0,-0.0275,-0.123
4,4,7,0,1,0,0,1,1,0,-0.582,0.162
6,4,7,0,0,0,0,1,1,0,0.088,-0.0506
6,4,7,1,0,0,0,1,0,0,-0.00395,0.105
6,4,7,1,0,0,0,1,1,0,0.205,-0.0312
6,4,7,0,1,0,0,1,0,0,0.0282,0.105
6,4,7,0,1,0,0,1,1,0,0.148,-0.044
4,5,2,0,0,0,0,1,0,0,0.0171,0.212
4,5,2,0,0,0,0,1,0,1,-0.269,-0.218
4,5,2,1,0,0,0,1,0,0,0.0525,0.212
4,5,2,1,0,0,0,1,0,1,-0.421,-0.275
4,5,2,0,1,0,0,1,0,0,0.0191,0.226
4,5,2,0,1,0,0,1,0,1,-0.823,-0.577
6,5,2,0,0,0,0,1,0,0,0.081,-0.328
6,5,2,0,0,0,0,1,0,1,0.0471,0.207
6,5,2,1,0,0,0,1,0,0,-0.00518,-0.347
6,5,2,1,0,0,0,1,0,1,0.109,0.213
6,5,2,0,1,0,0,1,0,0,0.259,-0.415
3,5,3,0,0,0,0,1,0,0,0.0116,0.111
3,5,3,0,0,0,0,1,0,1,-0.435,0.199
3,5,3,1,0,0,0,1,0,0,0.0258,0.111
3,5,3,0,1,0,0,1,0,0,0.0222,0.113
3,5,3,0,1,0,0,1,0,1,-1.08,-0.171
5,5,3,0,0,0,0,1,0,0,-0.00194,-0.0932
5,5,3,0,0,0,0,1,0,1,0.0819,0.0131
5,5,3,1,0,0,0,1,0,0,-0.0291,-0.0944
5,5,3,1,0,0,0,1,0,1,0.144,0.0289
5,5,3,0,1,0,0,1,0,0,0.0164,-0.0987
5,5,3,0,1,0,0,1,0,1,0.194,0.0493
7,5,3,0,0,0,0,1,0,1,0.00182,-0.112
7,5,3,1,0,0,0,1,0,0,0.0427,0.182
7,5,3,1,0,0,0,1,0,1,-0.0259,-0.0987
7,5,3,0,1,0,0,1,0,0,-0.149,0.171
7,5,3,0,1,0,0,1,0,1,-0.0141,-0.0834
2,5,4,0,0,0,0,1,0,0,0.00775,0.0759
2,5,4,0,0,0,0,1,0,1,-1.66,0.89
2,5,4,1,0,0,0,1,0,0,0.0147,0.076
2,5,4,1,0,0,0,1,0,1,-2.23,0.0731
2,5,4,0,1,0,0,1,0,0,0.0167,0.0758
2,5,4,0,1,0,0,1,0,1,-2.76,-0.636
4,5,4,0,0,0,0,1,0,0,-0.00135,-0.0318
4,5,4,0,0,0,0,1,0,1,0.308,-0.239
4,5,4,1,0,0,0,1,0,0,-0.0119,-0.0321
4,5,4,1,0,0,0,1,0,1,0.344,-0.123
4,5,4,0,1,0,0,1,0,0,0.00458,-0.0335
4,5,4,0,1,0,0,1,0,1,0.414,-0.047
6,5,4,0,0,0,0,1,0,0,-0.00282,0.0312
6,5,4,0,0,0,0,1,0,1,-0.0568,0.0114
6,5,4,1,0,0,0,1,0,0,0.0226,0.0325
6,5,4,1,0,0,0,1,0,1,-0.0797,-0.000581
6,5,4,0,1,0,0,1,0,0,-0.0281,0.0344
6,5,4,0,1,0,0,1,0,1,-0.0874,-0.0104
3,5,5,0,0,0,0,1,0,0,0.00152,0.0109
3,5,5,0,0,0,0,1,0,1,1.23,-0.000559
3,5,5,1,0,0,0,1,0,0,-0.00249,0.0106
3,5,5,1,0,0,0,1,1,0,0.816,0.126
3,5,5,0,1,0,0,1,0,0,0.00764,0.01
3,5,5,0,1,0,0,1,0,1,0.831,0.0962
5,5,5,0,0,0,0,1,0,1,-0.408,-6.06e-6
5,5,5,1,0,0,0,1,0,0,0.0075,-0.0135
5,5,5,1,0,0,0,1,1,0,-0.263,-0.0312
5,5,5,0,1,0,0,1,0,0,-0.0153,-0.0123
5,5,5,0,1,0,0,1,0,1,-0.264,-0.0321
7,5,5,0,0,0,0,1,0,0,0.00426,0.00783
7,5,5,0,0,0,0,1,0,1,0.0354,-0.0000146
7,5,5,1,0,0,0,1,0,0,-0.0219,0.00639
7,5,5,1,0,0,0,1,1,0,0.0458,0.00281
7,5,5,0,1,0,0,1,0,0,0.0322,0.00554
7,5,5,0,1,0,0,1,0,1,0.0457,0.00152
2,5,6,0,0,0,0,1,0,0,0.00683,0.0813
2,5,6,0,0,0,0,1,1,0,2.25,-1.29
2,5,6,1,0,0,0,1,0,0,0.00763,0.081
2,5,6,1,0,0,0,1,1,0,3.63,0.613
2,5,6,0,1,0,0,1,0,0,0.019,0.0804
2,5,6,0,1,0,0,1,1,0,3.05,-0.139
4,5,6,0,0,0,0,1,0,0,-0.00431,-0.0504
4,5,6,0,0,0,0,1,1,0,-0.485,0.424
4,5,6,1,0,0,0,1,0,0,-0.000468,-0.0501
4,5,6,1,0,0,0,1,1,0,-0.587,0.134
4,5,6,0,1,0,0,1,0,0,-0.0155,-0.0495
4,5,6,0,1,0,0,1,1,0,-0.507,0.235
6,5,6,0,0,0,0,1,0,0,0.00392,0.0431
6,5,6,0,0,0,0,1,1,0,0.169,-0.134
6,5,6,1,0,0,0,1,0,0,-0.00671,0.0426
6,5,6,1,0,0,0,1,1,0,0.185,-0.0329
6,5,6,0,1,0,0,1,0,0,0.0197,0.0417
6,5,6,0,1,0,0,1,1,0,0.165,-0.07
3,5,7,0,0,0,0,1,0,0,-0.00707,-0.0975
3,5,7,0,0,0,0,1,1,0,-0.739,0.7
3,5,7,1,0,0,0,1,0,0,-0.0071,-0.0971
3,5,7,1,0,0,0,1,1,0,-1.68,0.262
3,5,7,0,1,0,0,1,0,0,-0.0203,-0.0967
3,5,7,0,1,0,0,1,1,0,-1.25,0.459
5,5,7,0,0,0,0,1,0,0,0.00511,0.0733
5,5,7,0,0,0,0,1,1,0,0.2,-0.262
5,5,7,1,0,0,0,1,0,0,0.000731,0.0728
5,5,7,1,0,0,0,1,1,0,0.373,-0.155
5,5,7,0,1,0,0,1,0,0,0.0183,0.0724
5,5,7,0,1,0,0,1,1,0,0.291,-0.202
7,5,7,0,0,0,0,1,0,0,-0.00424,-0.0637
7,5,7,0,0,0,0,1,1,0,-0.0715,0.0689
7,5,7,1,0,0,0,1,0,0,0.00738,-0.0631
7,5,7,0,1,0,0,1,0,0,-0.0213,-0.0625
7,5,7,0,1,0,0,1,1,0,-0.101,0.048
5,6,2,0,0,0,0,1,0,0,-0.0163,-0.263
5,6,2,0,0,0,0,1,0,1,0.271,0.353
5,6,2,1,0,0,0,1,0,0,-0.0559,-0.263
5,6,2,1,0,0,0,1,0,1,0.415,0.393
5,6,2,0,1,0,0,1,0,0,-0.00873,-0.283
5,6,2,0,1,0,0,1,0,1,0.843,0.704
7,6,2,0,0,0,0,1,0,0,-0.102,0.447
7,6,2,0,0,0,0,1,0,1,-0.055,-0.256
7,6,2,1,0,0,0,1,0,0,-0.00927,0.466
7,6,2,1,0,0,0,1,0,1,-0.118,-0.263
7,6,2,0,1,0,0,1,0,0,-0.32,0.563
7,6,2,0,1,0,0,1,0,1,-0.167,-0.290
4,6,3,0,0,0,0,1,0,0,-0.0115,-0.131
4,6,3,0,0,0,0,1,0,1,0.298,-0.0139
4,6,3,1,0,0,0,1,0,0,-0.0274,-0.13
4,6,3,1,0,0,0,1,0,1,0.499,0.0434
4,6,3,0,1,0,0,1,0,0,-0.0197,-0.133
4,6,3,0,1,0,0,1,0,1,0.831,0.184
6,6,3,0,0,0,0,1,0,0,0.00304,0.136
6,6,3,0,0,0,0,1,0,1,-0.067,-0.0703
6,6,3,1,0,0,0,1,0,0,0.0332,0.137
6,6,3,1,0,0,0,1,0,1,-0.125,-0.0767
6,6,3,0,1,0,0,1,0,0,-0.0178,0.143
6,6,3,0,1,0,0,1,0,1,-0.176,-0.0899
3,6,4,0,0,0,0,1,0,0,-0.00838,-0.0921
3,6,4,0,0,0,0,1,0,1,0.585,-0.452
3,6,4,1,0,0,0,1,0,0,-0.0169,-0.0921
3,6,4,1,0,0,0,1,0,1,0.966,-0.264
3,6,4,0,1,0,0,1,0,0,-0.0172,-0.0924
3,6,4,0,1,0,0,1,0,1,1.38,-0.0536
5,6,4,0,0,0,0,1,0,0,0.00335,0.0624
5,6,4,0,0,0,0,1,0,1,-0.138,0.123
5,6,4,1,0,0,0,1,0,0,0.0158,0.0625
5,6,4,1,0,0,0,1,0,1,-0.213,0.0854
5,6,4,0,1,0,0,1,0,0,-0.000989,0.0642
5,6,4,0,1,0,0,1,0,1,-0.283,0.0496
7,6,4,0,0,0,0,1,0,0,0.00131,-0.0697
7,6,4,0,0,0,0,1,0,1,0.0314,0.0267
7,6,4,1,0,0,0,1,0,0,-0.026,-0.0708
7,6,4,1,0,0,0,1,0,1,0.059,0.028
7,6,4,0,1,0,0,1,0,0,0.027,-0.073
7,6,4,0,1,0,0,1,0,1,0.067,0.0309
2,6,5,0,0,0,0,1,0,0,-0.00587,-0.0684
2,6,5,0,0,0,0,1,0,1,2.26,-1.31
2,6,5,1,0,0,0,1,0,0,-0.0107,-0.0684
2,6,5,1,0,0,0,1,0,1,3.06,-0.17
2,6,5,0,1,0,0,1,0,0,-0.013,-0.0683
2,6,5,0,1,0,0,1,0,1,3.67,0.597
4,6,5,0,0,0,0,1,0,0,0.00158,0.0272
4,6,5,0,0,0,0,1,0,1,-0.485,0.422
4,6,5,1,0,0,0,1,0,0,0.00758,0.0273
4,6,5,1,0,0,0,1,0,1,-0.51,0.227
4,6,5,0,1,0,0,1,0,0,-0.000561,0.0279
4,6,5,0,1,0,0,1,0,1,-0.594,0.125
6,6,5,0,0,0,0,1,0,0,0.000322,-0.0185
6,6,5,0,0,0,0,1,0,1,0.169,-0.134
6,6,5,1,0,0,0,1,0,0,-0.0111,-0.0187
6,6,5,1,0,0,0,1,0,1,0.169,-0.069
6,6,5,0,1,0,0,1,0,0,0.0107,-0.0199
6,6,5,0,1,0,0,1,0,1,0.19,-0.033
3,6,6,0,0,0,0,1,0,0,-0.000885,-0.00845
3,6,6,0,0,0,0,1,0,1,-1.71,0.000805
3,6,6,1,0,0,0,1,0,0,0.00153,-0.00832
3,6,6,1,0,0,0,1,1,0,-1.11,-0.146
3,6,6,0,1,0,0,1,0,0,-0.00466,-0.00802
3,6,6,0,1,0,0,1,0,1,-1.12,-0.111
5,6,6,0,0,0,0,1,0,0,0.00141,0.0119
5,6,6,0,0,0,0,1,0,1,0.691,1.49e-6
5,6,6,1,0,0,0,1,0,0,-0.00396,0.0117
5,6,6,1,0,0,0,1,1,0,0.417,0.0452
5,6,6,0,1,0,0,1,0,0,0.0087,0.0111
5,6,6,0,1,0,0,1,0,1,0.418,0.0457
7,6,6,0,0,0,0,1,0,0,-0.00191,-0.0111
7,6,6,0,0,0,0,1,0,1,-0.24,0.0000129
7,6,6,1,0,0,0,1,0,0,0.00958,-0.0108
7,6,6,1,0,0,0,1,1,0,-0.15,-0.0161
7,6,6,0,1,0,0,1,0,0,-0.0153,-0.00991
7,6,6,0,1,0,0,1,0,1,-0.15,-0.015
2,6,7,0,0,0,0,1,0,0,-0.00519,-0.073
2,6,7,0,0,0,0,1,1,0,-2.9,1.74
2,6,7,1,0,0,0,1,0,0,-0.00615,-0.0728
2,6,7,1,0,0,0,1,1,0,-4.61,-0.578
2,6,7,0,1,0,0,1,0,0,-0.0143,-0.0725
2,6,7,0,1,0,0,1,1,0,-3.96,0.234
4,6,7,0,0,0,0,1,0,0,0.00312,0.0438
4,6,7,0,0,0,0,1,1,0,0.676,-0.615
4,6,7,1,0,0,0,1,0,0,0.00106,0.0436
4,6,7,1,0,0,0,1,1,0,0.782,-0.215
4,6,7,0,1,0,0,1,0,0,0.0109,0.0432
4,6,7,0,1,0,0,1,1,0,0.688,-0.336
6,6,7,0,0,0,0,1,0,0,-0.00268,-0.0372
6,6,7,0,0,0,0,1,1,0,-0.291,0.263
6,6,7,1,0,0,0,1,0,0,0.00281,-0.0369
6,6,7,1,0,0,0,1,1,0,-0.296,0.0812
6,6,7,0,1,0,0,1,0,0,-0.0125,-0.0364
6,6,7,0,1,0,0,1,1,0,-0.266,0.138
6,7,2,0,0,0,0,1,0,0,0.015,0.319
6,7,2,0,0,0,0,1,0,1,-0.29,-0.486
6,7,2,1,0,0,0,1,0,0,0.0584,0.318
6,7,2,1,0,0,0,1,0,1,-0.431,-0.518
6,7,2,0,1,0,0,1,0,0,-0.00351,0.345
6,7,2,0,1,0,0,1,0,1,-0.9,-0.856
5,7,3,0,0,0,0,1,0,0,0.0111,0.15
5,7,3,0,0,0,0,1,0,1,-0.257,-0.117
5,7,3,1,0,0,0,1,0,0,0.0285,0.149
5,7,3,1,0,0,0,1,0,1,-0.427,-0.148
5,7,3,0,1,0,0,1,0,0,0.0164,0.153
5,7,3,0,1,0,0,1,0,1,-0.74,-0.262
7,7,3,0,0,0,0,1,0,0,-0.00307,-0.178
7,7,3,0,0,0,0,1,0,1,0.0642,0.118
7,7,3,1,0,0,0,1,0,0,-0.0362,-0.179
7,7,3,1,0,0,0,1,0,1,0.12,0.122
7,7,3,0,1,0,0,1,0,0,0.0222,-0.186
7,7,3,0,1,0,0,1,0,1,0.174,0.133
4,7,4,0,0,0,0,1,0,0,0.00831,0.103
4,7,4,0,0,0,0,1,0,1,-0.358,0.204
4,7,4,1,0,0,0,1,0,0,0.0177,0.103
4,7,4,1,0,0,0,1,0,1,-0.621,0.142
4,7,4,0,1,0,0,1,0,0,0.016,0.104
4,7,4,0,1,0,0,1,0,1,-0.958,0.0393
6,7,4,0,0,0,0,1,0,0,-0.0043,-0.0872
6,7,4,0,0,0,0,1,0,1,0.093,-0.0397
6,7,4,1,0,0,0,1,0,0,-0.0184,-0.0872
6,7,4,0,1,0,0,1,0,0,0.000154,-0.0893
6,7,4,0,1,0,0,1,0,1,0.224,-0.00982
3,7,5,0,0,0,0,1,0,0,0.00641,0.0815
3,7,5,0,0,0,0,1,0,1,-0.753,0.708
3,7,5,1,0,0,0,1,0,0,0.0122,0.0815
3,7,5,1,0,0,0,1,0,1,-1.26,0.462
3,7,5,0,1,0,0,1,0,0,0.0136,0.0815
3,7,5,0,1,0,0,1,0,1,-1.71,0.254
5,7,5,0,0,0,0,1,0,0,-0.00302,-0.0508
5,7,5,0,0,0,0,1,0,1,0.202,-0.259
5,7,5,1,0,0,0,1,0,0,-0.0103,-0.0508
5,7,5,1,0,0,0,1,0,1,0.296,-0.194
5,7,5,0,1,0,0,1,0,0,-0.00234,-0.0515
5,7,5,0,1,0,0,1,0,1,0.383,-0.145
7,7,5,0,0,0,0,1,0,0,0.000912,0.0441
7,7,5,0,0,0,0,1,0,1,-0.0723,0.0676
7,7,5,1,0,0,0,1,0,0,0.0136,0.0442
7,7,5,1,0,0,0,1,0,1,-0.105,0.0456
7,7,5,0,1,0,0,1,0,0,-0.00863,0.0456
7,7,5,0,1,0,0,1,0,1,-0.128,0.0279
2,7,6,0,0,0,0,1,0,0,0.00464,0.0631
2,7,6,0,0,0,0,1,0,1,-2.91,1.75
2,7,6,1,0,0,0,1,0,0,0.00819,0.0631
2,7,6,1,0,0,0,1,0,1,-3.97,0.259
2,7,6,0,1,0,0,1,0,0,0.0104,0.0629
2,7,6,0,1,0,0,1,0,1,-4.63,-0.562
4,7,6,0,0,0,0,1,0,0,-0.00146,-0.0249
4,7,6,0,0,0,0,1,0,1,0.676,-0.614
4,7,6,1,0,0,0,1,0,0,-0.0054,-0.025
4,7,6,1,0,0,0,1,0,1,0.691,-0.33
4,7,6,0,1,0,0,1,0,0,-0.00079,-0.0253
4,7,6,0,1,0,0,1,0,1,0.787,-0.208
6,7,6,0,0,0,0,1,0,0,0.000226,0.0143
6,7,6,0,0,0,0,1,0,1,-0.292,0.263
6,7,6,1,0,0,0,1,0,0,0.00667,0.0144
6,7,6,1,0,0,0,1,0,1,-0.269,0.137
6,7,6,0,1,0,0,1,0,0,-0.00507,0.015
6,7,6,0,1,0,0,1,0,1,-0.3,0.0812
3,7,7,0,0,0,0,1,0,0,0.000572,0.00681
3,7,7,0,0,0,0,1,0,1,2.23,-0.000972
3,7,7,1,0,0,0,1,0,0,-0.00103,0.00674
3,7,7,1,0,0,0,1,1,0,1.43,0.163
3,7,7,0,1,0,0,1,0,0,0.00311,0.00657
3,7,7,0,1,0,0,1,0,1,1.43,0.122
5,7,7,0,0,0,0,1,0,0,-0.000903,-0.01
5,7,7,0,0,0,0,1,0,1,-0.989,4.9e-7
5,7,7,1,0,0,0,1,0,0,0.0024,-0.00993
5,7,7,1,0,0,0,1,1,0,-0.581,-0.0562
5,7,7,0,1,0,0,1,0,0,-0.0056,-0.00962
5,7,7,0,1,0,0,1,0,1,-0.581,-0.0564
7,7,7,0,0,0,0,1,0,0,0.00117,0.011
7,7,7,0,0,0,0,1,0,1,0.46,-0.0000107
7,7,7,1,0,0,0,1,0,0,-0.00514,0.0109
7,7,7,1,0,0,0,1,1,0,0.264,0.0265
7,7,7,0,1,0,0,1,0,0,0.00901,0.0103
7,7,7,0,1,0,0,1,0,1,0.264,0.0257
8,4,4,0,0,1,1,1,0,0,0.0918,0.196
8,4,4,0,0,0,1,1,0,0,1.45,-0.478
8,4,4,0,0,1,0,1,0,0,1.69,-0.426
8,4,4,0,0,0,0,1,0,0,0.307,0.193
8,4,4,0,0,1,0,0,0,0,0.0911,-0.144
8,4,4,0,0,0,0,0,0,0,1.93,-0.374
3,2,2,1,1,1,0,0,0,0,0.0,0.0
5,4,2,0,1,0,0,1,0,0,-0.212,0.276
